,Element,Wavelength,n,k
0,Ag,0.1879,1.07,1.212
1,Ag,0.1916,1.1,1.232
2,Ag,0.1953,1.12,1.255
3,Ag,0.1993,1.14,1.277
4,Ag,0.2033,1.15,1.296
5,Ag,0.2073,1.18,1.312
6,Ag,0.2119,1.2,1.325
7,Ag,0.2164,1.22,1.336
8,Ag,0.2214,1.25,1.342
9,Ag,0.2262,1.26,1.344
10,Ag,0.2313,1.28,1.357
11,Ag,0.2371,1.28,1.367
12,Ag,0.2426,1.3,1.378
13,Ag,0.249,1.31,1.389
14,Ag,0.2551,1.33,1.393
15,Ag,0.2616,1.35,1.387
16,Ag,0.2689,1.38,1.372
17,Ag,0.2761,1.41,1.331
18,Ag,0.2844,1.41,1.264
19,Ag,0.2924,1.39,1.161
20,Ag,0.3009,1.34,0.964
21,Ag,0.3107,1.13,0.616
22,Ag,0.3204,0.81,0.392
23,Ag,0.3315,0.17,0.829
24,Ag,0.3425,0.14,1.142
25,Ag,0.3542,0.1,1.419
26,Ag,0.3679,0.07,1.657
27,Ag,0.3815,0.05,1.864
28,Ag,0.3974,0.05,2.07
29,Ag,0.4133,0.05,2.275
30,Ag,0.4305,0.04,2.462
31,Ag,0.4509,0.04,2.657
32,Ag,0.4714,0.05,2.869
33,Ag,0.4959,0.05,3.093
34,Ag,0.5209,0.05,3.324
35,Ag,0.5486,0.06,3.586
36,Ag,0.5821,0.05,3.858
37,Ag,0.6168,0.06,4.152
38,Ag,0.6595,0.05,4.483
39,Ag,0.7045,0.04,4.838
40,Ag,0.756,0.03,5.242
41,Ag,0.8211,0.04,5.727
42,Ag,0.892,0.04,6.312
43,Ag,0.984,0.04,6.992
44,Ag,1.088,0.04,7.795
45,Ag,1.216,0.09,8.828
46,Ag,1.393,0.13,10.1
47,Ag,1.61,0.15,11.85
48,Ag,1.937,0.24,14.08
49,Ag2,0.27,1.364,1.318
50,Ag2,0.28,1.477,1.24
51,Ag2,0.29,1.531,1.168
52,Ag2,0.3,1.609,0.9126
53,Ag2,0.31,1.373,0.5192
54,Ag2,0.32,0.8191,0.3334
55,Ag2,0.33,0.2207,0.6779
56,Ag2,0.34,0.1109,1.084
57,Ag2,0.35,0.08443,1.341
58,Ag2,0.36,0.07339,1.536
59,Ag2,0.3699,0.06727,1.699
60,Ag2,0.3799,0.06325,1.841
61,Ag2,0.3899,0.06035,1.971
62,Ag2,0.3999,0.05817,2.09
63,Ag2,0.4099,0.05647,2.203
64,Ag2,0.4199,0.05515,2.31
65,Ag2,0.4299,0.05411,2.413
66,Ag2,0.4399,0.05332,2.513
67,Ag2,0.4499,0.05271,2.609
68,Ag2,0.4599,0.05227,2.703
69,Ag2,0.4699,0.05198,2.795
70,Ag2,0.4799,0.05181,2.886
71,Ag2,0.4899,0.05175,2.974
72,Ag2,0.4999,0.0518,3.062
73,Ag2,0.5099,0.05193,3.148
74,Ag2,0.5199,0.05215,3.233
75,Ag2,0.5299,0.05245,3.318
76,Ag2,0.5399,0.05282,3.401
77,Ag2,0.5499,0.05326,3.484
78,Ag2,0.5599,0.05376,3.566
79,Ag2,0.5699,0.05431,3.648
80,Ag2,0.5799,0.05493,3.728
81,Ag2,0.5899,0.0556,3.809
82,Ag2,0.5999,0.05632,3.889
83,Ag2,0.6099,0.05709,3.968
84,Ag2,0.6199,0.0579,4.048
